Timestamp,where do you belong?,If you need to purchase a stove what will you consider first,which stove you are currently using?,How much it cost's you monthly(bill)?,Cost of your Stove?,Do you have load-shedding of Gas or electricity in you area?,what improvement you want to see in stove in near future?,How long(time) does it takes to cook a meal for a day?,Do you think we can utilize our non-renewable energy somewhere else instead of wasting it for cooking?,Have you ever forget to turn off you stove after cooking?,Do you think that to have a gas stove at home is risky and dangerous?,Do you think it is preferable to have a portable cooking system?(for picnic etc),will you prefer a cooker with no headache of electricity or gas bill?,Do you think there should be a timer in your Stove?,Have you ever over cooked your food accidently?,Have you ever hurt yourself from fire while cooking?,In rural areas since there is no electricity or gas therefore mostly people use handmade stoves which release harmful smoke. Do you think it is a cause of  air pollution?,Sometimes gas is not available then how do you manage to cook? do you cook at low flame or use some other method? How long does it takes to cook food?,Do you think Cooking food with gas raises the risk of lung cancer?,Life time of your Stove?,What else difficulties do you face while cooking?,How much you are willing to spend on a cooker which is  [Easy to use],How much you are willing to spend on a cooker which is  [Energy Efficient],How much you are willing to spend on a cooker which is  [Safer ],How much you are willing to spend on a cooker which is  [provide precise temperature control],How much you are willing to spend on a cooker which is  [Time Efficient],How much you are willing to spend on a cooker which is  [Only one time investment],How much you are willing to spend on a cooker which is  [longer lifetime],How much you are willing to spend on a cooker which is  [All in one with finest quality],Any Remarks?
2020/11/08 11:49:05 AM GMT+5,City,long live,Gas stove,less than 2000,12000,Both,It should be cost effective and safe. It would be great if it will be independent of gas and electricity. ,"Usually 2 hours if there is no gas issue. But, sometimes we don't cook because the lack of gas and electricity. ",Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,"Yes, we did it took almost 4 to 5 hours to cook food. There was a time when the gas was gone like it never existed before. We had to purchase food from hotel.",Strongly agree,5,The stove itself becomes hot due to continuous use while cooking. It becomes difficult to turn it off. The sudden flame can cause a dangerous damage when you turn it on. When there is no gas people forget to turn it off and it can really take someons's life. ,15k-----20k,15k-----20k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,"Cooking is a basic need of life. It will be very help if there is a such stove which gas and electricity independent. Also, cost effective and longer lifetime."
2020/11/08 12:18:55 PM GMT+5,City,cost effective;power efficient,Gas stove,less than 2000,1500,Both,Power Efficient & Portable,1 Hour,not sure,No,Agree,Strongly agree,Strongly agree,Maybe,Yes,Agree,Agree,I have Gas Cylinder. ,Not sure,8,Low Pressure,less than 10k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,10k-----15k,15k-----20k,Make it Portable & Power efficient. 
2020/11/08 12:20:13 PM GMT+5,City,power efficient,Electric stove,less than 2000,6000,Electricity,More efficient,2 to 3 hours,Strongly agree,Yes,Not sure,Strongly agree,Strongly agree,yes,Maybe,Agree,Agree,Prefer to cook at low flame,Not sure,3,Nill,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,Nill
2020/11/08 12:20:39 PM GMT+5,City,cost effective;power efficient;portable;easy to use,Gas stove,2000-----4000,6000,Both,Portable,4-5  hours,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,Low flame,Strongly agree,4,Low flame and load shedding,less than 10k,10k-----15k,10k-----15k,less than 10k,less than 10k,15k-----20k,15k-----20k,less than 10k,
2020/11/08 12:31:50 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,2000-----4000,10000,Both,"Automatic, heat control",2 to 3 hours,agree,Yes,Strongly agree,agree,Strongly agree,yes,Yes,Agree,Strongly agree,Now a days we face really this type of issues of low flame. Cooking on low flame is totally wastage of time,Not sure,5,Pollution ,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,We really need this type stove.... 
2020/11/08 12:38:49 PM GMT+5,City,cost effective;power efficient;safety;easy to use;less pollution,Gas stove,less than 2000,3000,Both,Long live ,1 hour,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,Use wood as a fuel or it takes 1 to 2 hours,Strongly agree,5,Warm surrounding due to flame ,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 12:48:21 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,More than 4000,Electricity,"Power efficiency,safety,low cost ",Half hour ,Strongly agree,No,Agree,Strongly agree,Strongly agree,yes,Yes,Disagree,Strongly agree,Use handmade stove & it takes much time or buy meal from outside ,Not sure,5,No difficulty at all!,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 12:52:33 PM GMT+5,City,safety,Gas stove,less than 2000,5000,Both,Safe and good in quilities,30 minutes,not sure,Yes,Agree,agree,Agree,yes,Yes,Strongly agree,Strongly agree,Then we use homemade stove and sometimes cook on low flame,Not sure,10,Burn hands.,less than 10k,10k-----15k,10k-----15k,less than 10k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,
2020/11/08 12:58:58 PM GMT+5,City,long live,Gas stove,less than 2000,4000-6000,Gas,It should be automatic it doesn't not require match box,1 hour,Strongly agree,Maybe,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,We use sigri use coal in it and cook on high flame it takes alott time to warmup it may take 1 hour to cook food,Strongly agree,5,Stroke can blast so we affraid b/c of this,15k-----20k,20k-----25k,more than 25k,20k-----25k,20k-----25k,less than 10k,more than 25k,more than 25k,Changes should be taken in order to improve stove ur Q were effective 👍
2020/11/08 1:05:45 PM GMT+5,City,safety;long live;easy to use,Gas stove,less than 2000,PKR 1200 ,Both,"As natural resources incouding gas is scarce nowadays and low electticity generation in Pakistan. In future, there could be a time when everyone will have a choice of using LPG gas cylinders so we should consider an alternate ",2 hours ,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Mostly we order food online from restaurants. In some cases it takes more than 3 hours ,Strongly agree,10,Heat and harmful gases,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 1:16:08 PM GMT+5,City,power efficient,Gas stove,less than 2000,60000,Electricity,Improvement in cost ,1 -2hr ,not sure,Maybe,Not sure,disagree,Strongly agree,yes,Yes,Strongly Disagree,Agree,Use other methods  and it take 2 hr max ,Not sure,6,Mein ne kbhi cooking ki e nh hai ,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,No
2020/11/08 1:16:56 PM GMT+5,City,power efficient;safety;long live;easy to use;less pollution,Gas stove,less than 2000,3000,Both,It should be more easy and less risky to use,At night it takes about 1-3 hours ,not sure,Maybe,Agree,agree,Agree,yes,Yes,Agree,Agree,"Cook on low flame, it takes about 1-3 hours",Not sure,8,Sometimes the gas pipe leaks,less than 10k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,10k-----15k,10k-----15k,15k-----20k,
2020/11/08 1:37:01 PM GMT+5,City,power efficient;safety;long live;portable;less pollution,Gas stove,2000-----4000,5000,Both,Efficient and reliable and costly appropriate ,1-2 hours ,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Cook at low flame and sometime use clylinder gas instead.,Strongly agree,3,"Gas odor, low gas, and weak burner flame. ",10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,No
2020/11/08 1:45:29 PM GMT+5,City,cost effective;safety;easy to use,Electric stove,2000-----4000,2200,Both,More efficient,30 minutes,agree,No,Strongly agree,Not sure,Strongly agree,yes,Yes,Not sure,Agree,NA,Not sure,7,low pressure of gas,10k-----15k,less than 10k,less than 10k,10k-----15k,10k-----15k,less than 10k,less than 10k,10k-----15k,
2020/11/08 1:48:31 PM GMT+5,City,cost effective;safety;long live;easy to use,Gas stove,less than 2000,12000,Both,Stove should be easy to clean,Half hour,not sure,No,Disagree,Strongly disagree,Disagree,yes,No,Disagree,Strongly agree,I use gas slander. It takes 1 hour to cook food,Disagree,10,Using match box white fire,less than 10k,less than 10k,10k-----15k,10k-----15k,less than 10k,less than 10k,less than 10k,less than 10k,No
2020/11/08 1:53:28 PM GMT+5,Town,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,2000-----4000,80000,Both,Free from pollution ,3 hours ,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,yes,Maybe,Agree,Strongly agree,Taking more time,Not sure,10,Fire,less than 10k,less than 10k,10k-----15k,10k-----15k,less than 10k,less than 10k,less than 10k,less than 10k,No
2020/11/08 1:59:14 PM GMT+5,City,cost effective;long live;portable;easy to use,Gas stove,less than 2000,5000,Both,Cost effictive,1.5 hours,Strongly agree,Maybe,Not sure,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Hotel,Not sure,5,Gas load shedding,less than 10k,less than 10k,10k-----15k,less than 10k,10k-----15k,less than 10k,10k-----15k,less than 10k,
2020/11/08 2:03:22 PM GMT+5,Town,long live,Gas stove,less than 2000,Don't know,Electricity,Solar stove is better to use.,1 hour 30 minutes,Strongly agree,Yes,Agree,Not sure,Strongly agree,yes,Yes,Strongly agree,Agree,3 hours,agree,5,Low pressure of gas,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,No
2020/11/08 2:17:36 PM GMT+5,City,power efficient;safety;portable,Gas stove,less than 2000,3000,Electricity,no flame,3hrs,agree,No,Agree,agree,Agree,Maybe,Yes,Agree,Agree,order food from food panda,Not sure,8,none,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,
2020/11/08 2:28:45 PM GMT+5,City,safety,Gas stove,less than 2000,3000,Both,safety. auto off gas when no one is burning fire,1 hour,not sure,Yes,Agree,Strongly agree,Agree,yes,Yes,Agree,Agree,bring food from outside,Not sure,10,sometimes gas is low. in winter this happens mostly,less than 10k,10k-----15k,10k-----15k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,we prefer safety first. In winter mostly gas is not available
2020/11/08 2:30:32 PM GMT+5,Town,easy to use,Wood Burning,less than 2000,N/A,Electricity,"Any thing , which brings more ease in use",3 minute,agree,No,Strongly agree,agree,Strongly agree,no,Yes,Disagree,Strongly Disagree,Not much,Not sure,1,No any,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 2:32:29 PM GMT+5,Town,safety,Gas stove,less than 2000,Don't know,Both,Separate portion for Baking ,49 mins,not sure,No,Agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,I use gas cylinder stove or oven,agree,8,..,10k-----15k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,No thankyou
2020/11/08 3:32:31 PM GMT+5,City,easy to use,Gas stove,less than 2000,4000,Both,Should work on the shape of stove it must provide safety,Depends on the dishes...,agree,Maybe,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Not sure,We use cylenders in the case of emergncy,Disagree,8,Not related to stove,10k-----15k,less than 10k,10k-----15k,10k-----15k,less than 10k,10k-----15k,10k-----15k,less than 10k,No remarks
2020/11/08 3:33:08 PM GMT+5,Town,less pollution,Gas stove,less than 2000,"10,000",Electricity,"It should be easy to use, clean and safe. ","Depends on what we are cooking I'm mean veg or non-veg: , mostly it takes almist 30 minutes ",agree,Maybe,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Agree,We cook on hand made stove which take hours or we order from outside  ,Not sure,8,"Sometimes i burn my hand or the clocth i use to hold the cooker, sometimes I forget that i have kept somthing to cook thus i spend time im kitchen untill I'm done ",10k-----15k,less than 10k,less than 10k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,The survey was quite accurate. 
2020/11/08 3:34:33 PM GMT+5,City,power efficient;safety;easy to use;less pollution,Gas stove,less than 2000,4000,Both,"Stove should have both feature electric and gas, also should be temperature setting should be include",1 hour,agree,No,Agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Agree,"More time then usual, like it takes 2 hours",agree,8,"Low gas, light load shedding, cloth catch fire.",10k-----15k,10k-----15k,15k-----20k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,
2020/11/08 3:37:54 PM GMT+5,City,cost effective;safety;less pollution,Gas stove,2000-----4000,4000 to 5000,Both,"I want to improve electricity and also gas because we pay alot of bill but facilities of electricity and gas don't properly available in our areas,that why need to improve ",3 times,agree,No,Strongly agree,agree,Agree,no,No,Agree,Strongly agree,Use electric stove,Not sure,5,Gas pressure ,less than 10k,10k-----15k,15k-----20k,15k-----20k,10k-----15k,15k-----20k,15k-----20k,10k-----15k,No
2020/11/08 3:43:55 PM GMT+5,Town,safety,Gas stove,less than 2000,Dont remember,Electricity,Anything better,2 to 3 hours,not sure,No,Not sure,agree,Agree,Maybe,Maybe,Not sure,Not sure,Cylinder,Not sure,10,Nothing,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,None
2020/11/08 3:43:58 PM GMT+5,City,cost effective;power efficient;safety;easy to use,Gas stove,2000-----4000,Null,Both,No idea,1 hour,not sure,Yes,Disagree,Not sure,Not sure,no,Maybe,Disagree,Agree,Backup Gas Cylinder,Disagree,8,Not Aware,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 4:02:25 PM GMT+5,Town,easy to use,Gas stove,4000-----6000,2000,Both,Would use in easy way,2 clock,not sure,Yes,Strongly agree,Not sure,Strongly agree,yes,Yes,Strongly agree,Strongly agree,We use some other method and it takes 2 to 3 hours to cook food,Not sure,5,Face many difficulty like over cooked less gas some time us other method for hand made stove so that is risky for over life,15k-----20k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,20k-----25k,20k-----25k,more than 25k,
2020/11/08 4:16:29 PM GMT+5,City,cost effective;safety;portable;less pollution,Gas stove,2000-----4000,2500,Both,Less polluted ,1 hour,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,Doesn't cook,Strongly agree,10,All because of not portable and need to see multiple times for the  ,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,3R concept is what can impact the environmental culture of our society
2020/11/08 4:24:11 PM GMT+5,Town,safety,Gas stove,less than 2000,,Electricity,It must be connected with sui gas .,Depend on the meal that what type of meal is cooking..,agree,No,Agree,disagree,Agree,yes,Maybe,Not sure,Agree,We haven't sui gas we have gas cylinders to cook.,agree,6,...,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,..
2020/11/08 4:46:50 PM GMT+5,City,cost effective;long live;portable;less pollution,Electric stove,2000-----4000,,Both,Easy to use,Half hr,not sure,Maybe,Strongly agree,Strongly agree,Strongly agree,yes,No,Strongly agree,Strongly agree,More then 1hr,Not sure,5,Saffocation and heat while cooking,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,No
2020/11/08 4:55:45 PM GMT+5,City,safety,Electric stove,less than 2000,,Both,Long lasting ,1 hour ,agree,No,Agree,disagree,Agree,no,No,Agree,Agree,1 and a half hour ,Not sure,5,No any difficulty ,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 4:57:15 PM GMT+5,City,portable,Electric stove,2000-----4000,8k-----12k,Both,Better productivity,One hour,agree,Yes,Strongly agree,Not sure,Agree,yes,Yes,Strongly agree,Strongly agree,Low flame,Strongly agree,7,Many ,10k-----15k,10k-----15k,10k-----15k,10k-----15k,less than 10k,10k-----15k,10k-----15k,15k-----20k,
2020/11/08 5:10:05 PM GMT+5,City,safety,Gas stove,less than 2000,,Gas,Nil,8 hours,not sure,No,Not sure,agree,Agree,yes,No,Not sure,Agree,Hoteling,Not sure,10,No,10k-----15k,15k-----20k,less than 10k,15k-----20k,10k-----15k,less than 10k,15k-----20k,10k-----15k,
2020/11/08 5:14:03 PM GMT+5,City,power efficient;safety;long live,Gas stove,less than 2000,12k-----16k,Both,Must have  a storage of gas. In case of gas shedding we can use it,2 hrs,Strongly agree,No,Not sure,disagree,Strongly agree,yes,No,Agree,Strongly agree,Gas cylinder,Not sure,10,,less than 10k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,
2020/11/08 5:18:39 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use,Gas stove,less than 2000,4k-----8k,Electricity,Something better and advanced,Depends on the pressure of gas and the person who makes meal,agree,Yes,Not sure,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Agree,We use Gas cylinders in that situation and it take a litte more time then usuall,Not sure,9,Not more but stove is fixed at on place can't move it as per desire ,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,Good work 
2020/11/08 5:45:08 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,No idea,20 minutes,Strongly agree,No,Not sure,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,No idea,Strongly agree,2,No any difficulty,10k-----15k,less than 10k,15k-----20k,less than 10k,15k-----20k,less than 10k,15k-----20k,less than 10k,No
2020/11/08 5:46:23 PM GMT+5,City,power efficient;safety;long live;easy to use,Gas stove,2000-----4000,4k-----8k,Electricity,Non leakage ,Depends on food,agree,Maybe,Strongly agree,agree,Agree,Maybe,Yes,Agree,Agree,Order from outside ,Not sure,6,Smoke,10k-----15k,15k-----20k,20k-----25k,10k-----15k,15k-----20k,20k-----25k,15k-----20k,20k-----25k,
2020/11/08 5:52:49 PM GMT+5,Town,cost effective;power efficient;safety;long live;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Electricity,,,agree,No,Strongly agree,agree,Agree,yes,Yes,Strongly agree,Strongly agree,Handmade stove,agree,7,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 5:54:21 PM GMT+5,City,cost effective;power efficient;safety;long live;easy to use,Gas stove,4000-----6000,8k-----12k,Both,,2 hours,agree,Maybe,Agree,agree,Strongly agree,yes,Yes,Agree,Strongly agree,Meel is not good on low flame thats why we ordered from outside ,Not sure,7,,less than 10k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,20k-----25k,
2020/11/08 6:01:52 PM GMT+5,City,cost effective,Gas stove,2000-----4000,8k-----12k,Both,It should not use gas as a fuel ,4hours,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,We order food from outside,Strongly agree,7,Gas pressures and gad leakage ,less than 10k,10k-----15k,20k-----25k,10k-----15k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,Gas stoves arent safe and they should be replaced with solar stove 
2020/11/08 6:04:05 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,12k-----16k,Both,,It takes 1 hour ,Strongly agree,No,Disagree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,We use hand made stove and it takes more than 1 hour to cook ,Disagree,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:07:20 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,There should b light on it so whenever light went off the food will be visible,1 hr,Strongly agree,Yes,Strongly agree,agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,At low flame,agree,4,Not sure,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,Yes there should be one
2020/11/08 6:09:29 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Both,Light weight,1 hour,agree,Yes,Not sure,agree,Agree,yes,Maybe,Not sure,Not sure,Cook at low flame and it takes 2 hours,Not sure,1,Nothing,less than 10k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,more than 25k,more than 25k,more than 25k,Keep doing great for us
2020/11/08 6:10:15 PM GMT+5,City,cost effective;safety;long live;easy to use,Gas stove,less than 2000,4k-----8k,Electricity,,,not sure,No,Agree,Not sure,Not sure,no,Yes,Disagree,Not sure,.,Not sure,10,,less than 10k,10k-----15k,15k-----20k,less than 10k,10k-----15k,15k-----20k,less than 10k,15k-----20k,
2020/11/08 6:24:47 PM GMT+5,City,long live,Gas stove,less than 2000,8k-----12k,Both,Power efficient,2 to 3 hrs,not sure,No,Disagree,agree,Agree,yes,Maybe,Disagree,Agree,About 4 hrs,Not sure,8,Gas problem,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:30:30 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution;Also have LED,Gas stove,less than 2000,4k-----8k,Both,,2/3 hours ,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,This situation is difficult to overcome,agree,4,I feel exhausted,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,It's better that stove have LED system 
2020/11/08 6:31:35 PM GMT+5,Town,cost effective,Gas stove,less than 2000,4k-----8k,Both,Make it electrical and gas both. So we can use one if the other is bot available.,2 hours,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Cylinder.,agree,6,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
